key,value,check,fuzzy
HITId,3M93N4X8HM23Y385DQGDRY8Q1Z7JSO,FALSE,FALSE
HITTypeId,3GDF5H3EXM3LCWL5N13TJM58U8P52F,FALSE,FALSE
Title,Answer a survey about news articles related to events to human-right defenders,FALSE,FALSE
Description,"Read the news article, answer questions related to the details about the event mentioned in the news article.",FALSE,FALSE
Keywords,"data collection, data extraction, event extraction, news article,",FALSE,FALSE
Reward,$1.00,FALSE,FALSE
CreationTime,Tue Aug 02 06:43:32 PDT 2022,FALSE,FALSE
MaxAssignments,3,FALSE,FALSE
RequesterAnnotation,BatchId:361276;OriginalHitTemplateId:921587259;,FALSE,FALSE
AssignmentDurationInSeconds,3600,FALSE,FALSE
AutoApprovalDelayInSeconds,345600,FALSE,FALSE
Expiration,Sat Aug 06 06:43:32 PDT 2022,FALSE,FALSE
NumberOfSimilarHITs,,FALSE,FALSE
LifetimeInSeconds,,FALSE,FALSE
AssignmentId,31IBVUNM9VE58D17EX0YB7VLZ0HFVJ,FALSE,FALSE
WorkerId,A3EXQVVREKQGG8,FALSE,FALSE
AssignmentStatus,Submitted,FALSE,FALSE
AcceptTime,Tue Aug 02 06:43:48 PDT 2022,FALSE,FALSE
SubmitTime,Tue Aug 02 06:56:16 PDT 2022,FALSE,FALSE
AutoApprovalTime,Sat Aug 06 06:56:16 PDT 2022,FALSE,FALSE
ApprovalTime,,FALSE,FALSE
RejectionTime,,FALSE,FALSE
RequesterFeedback,,FALSE,FALSE
WorkTimeInSeconds,748,FALSE,FALSE
LifetimeApprovalRate,100% (141/141),FALSE,FALSE
Last30DaysApprovalRate,100% (9/9),FALSE,FALSE
Last7DaysApprovalRate,100% (1/1),FALSE,FALSE
Answer.abuse_type_arbitrary_detention_1.abuse_type_arbitrary_detention_1,TRUE,TRUE,FALSE
Answer.abuse_type_arbitrary_detention_2.abuse_type_arbitrary_detention_2,TRUE,TRUE,FALSE
Answer.abuse_type_arbitrary_detention_3.abuse_type_arbitrary_detention_3,TRUE,TRUE,FALSE
Answer.abuse_type_enforced_disappearance_1.abuse_type_enforced_disappearance_1,FALSE,FALSE,FALSE
Answer.abuse_type_enforced_disappearance_2.abuse_type_enforced_disappearance_2,FALSE,FALSE,FALSE
Answer.abuse_type_enforced_disappearance_3.abuse_type_enforced_disappearance_3,FALSE,FALSE,FALSE
Answer.abuse_type_kidnapping_1.abuse_type_kidnapping_1,FALSE,FALSE,FALSE
Answer.abuse_type_kidnapping_2.abuse_type_kidnapping_2,FALSE,FALSE,FALSE
Answer.abuse_type_kidnapping_3.abuse_type_kidnapping_3,FALSE,FALSE,FALSE
Answer.abuse_type_killing_1.abuse_type_killing_1,FALSE,FALSE,FALSE
Answer.abuse_type_killing_2.abuse_type_killing_2,FALSE,FALSE,FALSE
Answer.abuse_type_killing_3.abuse_type_killing_3,FALSE,FALSE,FALSE
Answer.abuse_type_other_1.abuse_type_other_1,FALSE,FALSE,FALSE
Answer.abuse_type_other_2.abuse_type_other_2,TRUE,FALSE,FALSE
Answer.abuse_type_other_3.abuse_type_other_3,FALSE,FALSE,FALSE
Answer.abuse_type_torture_1.abuse_type_torture_1,FALSE,FALSE,FALSE
Answer.abuse_type_torture_2.abuse_type_torture_2,FALSE,FALSE,FALSE
Answer.abuse_type_torture_3.abuse_type_torture_3,FALSE,FALSE,FALSE
Answer.checkpoint_code_gold_input,9138fd5f-c641-475e-80ed-4159d5d9cc78,TRUE,FALSE
Answer.checkpoint_code_worker_input,9138fd5f-c641-475e-80ed-4159d5d9cc78,TRUE,FALSE
Answer.date_incident,,FALSE,FALSE
Answer.date_incident_1,,FALSE,FALSE
Answer.date_incident_2,22,TRUE,FALSE
Answer.date_incident_3,,FALSE,FALSE
Answer.insufficient_info_1_0.insufficient_info_1_0,FALSE,FALSE,FALSE
Answer.insufficient_info_2_0.insufficient_info_2_0,FALSE,FALSE,FALSE
Answer.insufficient_info_3_0.insufficient_info_3_0,FALSE,FALSE,FALSE
Answer.location_city,,FALSE,FALSE
Answer.location_city_1,,FALSE,FALSE
Answer.location_city_2,Guantánamo,TRUE,TRUE
Answer.location_city_3,,FALSE,FALSE
Answer.location_country,Saudi Arabia,TRUE,TRUE
Answer.location_country_1,Fiji,TRUE,FALSE
Answer.location_country_2,Cuba,TRUE,FALSE
Answer.location_country_3,Russia,TRUE,FALSE
Answer.location_region,,FALSE,FALSE
Answer.location_region_1,,FALSE,FALSE
Answer.location_region_2,,FALSE,FALSE
Answer.location_region_3,,FALSE,FALSE
Answer.month_incident_1,,FALSE,FALSE
Answer.month_incident_2,April,TRUE,TRUE
Answer.month_incident_3,,FALSE,FALSE
Answer.other_actor_na_permission_1_0.other_actor_na_permission_1_0,FALSE,FALSE,FALSE
Answer.other_actor_na_permission_2_0.other_actor_na_permission_2_0,FALSE,FALSE,FALSE
Answer.other_actor_na_permission_3_0.other_actor_na_permission_3_0,FALSE,FALSE,FALSE
Answer.other_actor_w_permission_1_0.other_actor_w_permission_1_0,FALSE,FALSE,FALSE
Answer.other_actor_w_permission_2_0.other_actor_w_permission_2_0,FALSE,FALSE,FALSE
Answer.other_actor_w_permission_3_0.other_actor_w_permission_3_0,FALSE,FALSE,FALSE
Answer.other_actor_wo_permission_1_0.other_actor_wo_permission_1_0,FALSE,FALSE,FALSE
Answer.other_actor_wo_permission_2_0.other_actor_wo_permission_2_0,FALSE,FALSE,FALSE
Answer.other_actor_wo_permission_3_0.other_actor_wo_permission_3_0,FALSE,FALSE,FALSE
Answer.perpetrator_mention_false.perpetrator_mention_false,FALSE,FALSE,FALSE
Answer.perpetrator_mention_true.perpetrator_mention_true,TRUE,FALSE,FALSE
Answer.perpetrator_mention_false_1.perpetrator_mention_false_1,FALSE,FALSE,FALSE
Answer.perpetrator_mention_true_1.perpetrator_mention_true_1,TRUE,TRUE,FALSE
Answer.perpetrator_mention_false_2.perpetrator_mention_false_2,FALSE,FALSE,FALSE
Answer.perpetrator_mention_true_2.perpetrator_mention_true_2,TRUE,TRUE,FALSE
Answer.perpetrator_mention_false_3.perpetrator_mention_false_3,FALSE,FALSE,FALSE
Answer.perpetrator_mention_true_3.perpetrator_mention_true_3,TRUE,TRUE,FALSE
Answer.state_actor_1_0.state_actor_1_0,TRUE,TRUE,FALSE
Answer.state_actor_2_0.state_actor_2_0,TRUE,TRUE,FALSE
Answer.state_actor_3_0.state_actor_3_0,TRUE,TRUE,FALSE
Answer.victim_age_group_adult_1_1.victim_age_group_adult_1_1,TRUE,FALSE,FALSE
Answer.victim_age_group_adult_1_2.victim_age_group_adult_1_2,TRUE,FALSE,FALSE
Answer.victim_age_group_adult_1_3.victim_age_group_adult_1_3,TRUE,FALSE,FALSE
Answer.victim_age_group_adult_1_4.victim_age_group_adult_1_4,TRUE,FALSE,FALSE
Answer.victim_age_group_adult_2_1.victim_age_group_adult_2_1,TRUE,FALSE,FALSE
Answer.victim_age_group_adult_2_2.victim_age_group_adult_2_2,TRUE,FALSE,FALSE
Answer.victim_age_group_adult_3_1.victim_age_group_adult_3_1,FALSE,FALSE,FALSE
Answer.victim_age_group_adult_3_2.victim_age_group_adult_3_2,FALSE,FALSE,FALSE
Answer.victim_age_group_child_1_1.victim_age_group_child_1_1,FALSE,FALSE,FALSE
Answer.victim_age_group_child_1_2.victim_age_group_child_1_2,FALSE,FALSE,FALSE
Answer.victim_age_group_child_1_3.victim_age_group_child_1_3,FALSE,FALSE,FALSE
Answer.victim_age_group_child_1_4.victim_age_group_child_1_4,FALSE,FALSE,FALSE
Answer.victim_age_group_child_2_1.victim_age_group_child_2_1,FALSE,FALSE,FALSE
Answer.victim_age_group_child_2_2.victim_age_group_child_2_2,FALSE,FALSE,FALSE
Answer.victim_age_group_child_3_1.victim_age_group_child_3_1,FALSE,FALSE,FALSE
Answer.victim_age_group_child_3_2.victim_age_group_child_3_2,FALSE,FALSE,FALSE
Answer.victim_age_group_other_1_1.victim_age_group_other_1_1,FALSE,FALSE,FALSE
Answer.victim_age_group_unknown_1_1.victim_age_group_unknown_1_1,FALSE,FALSE,FALSE
Answer.victim_age_group_unknown_1_2.victim_age_group_unknown_1_2,FALSE,FALSE,FALSE
Answer.victim_age_group_unknown_1_3.victim_age_group_unknown_1_3,FALSE,FALSE,FALSE
Answer.victim_age_group_unknown_1_4.victim_age_group_unknown_1_4,FALSE,FALSE,FALSE
Answer.victim_age_group_unknown_2_1.victim_age_group_unknown_2_1,FALSE,FALSE,FALSE
Answer.victim_age_group_unknown_2_2.victim_age_group_unknown_2_2,FALSE,FALSE,FALSE
Answer.victim_age_group_unknown_3_1.victim_age_group_unknown_3_1,TRUE,FALSE,FALSE
Answer.victim_age_group_unknown_3_2.victim_age_group_unknown_3_2,TRUE,FALSE,FALSE
Answer.victim_keywords_1_1,Fijian Trade Union Congress secretary general,FALSE,FALSE
Answer.victim_keywords_1_2,information relations officer,FALSE,FALSE
Answer.victim_keywords_1_3,general secretary of Fijian Teachers Association,FALSE,FALSE
Answer.victim_keywords_1_4,Fiji Nurses Association general secretary,FALSE,FALSE
Answer.victim_keywords_2_1,,FALSE,FALSE
Answer.victim_keywords_2_2,,FALSE,FALSE
Answer.victim_keywords_3_1,Pussy Riot,FALSE,FALSE
Answer.victim_keywords_3_2,Pussy Riot,FALSE,FALSE
Answer.victim_keywords_example,"student,executed",FALSE,FALSE
Answer.victim_name_1_1,Felix Anthony,TRUE,TRUE
Answer.victim_name_1_2,Shiu Lingam,TRUE,TRUE
Answer.victim_name_1_3,Paula Manumanuitoga,TRUE,TRUE
Answer.victim_name_1_4,Salanieta Matiavi,TRUE,TRUE
Answer.victim_name_2_1,Roberto Jesús Quiñones,TRUE,TRUE
Answer.victim_name_2_2,Augusto César San Martín,TRUE,TRUE
Answer.victim_name_3_1,Lusine Djanyan,TRUE,TRUE
Answer.victim_name_3_2,Alexey Knedlyakovsky,TRUE,TRUE
Answer.victim_name_example,Mujtaba al-Sweikat,FALSE,FALSE
Answer.victim_pop_type_individual_1_1.victim_pop_type_individual_1_1,TRUE,TRUE,FALSE
Answer.victim_pop_type_individual_1_2.victim_pop_type_individual_1_2,TRUE,TRUE,FALSE
Answer.victim_pop_type_individual_1_3.victim_pop_type_individual_1_3,TRUE,TRUE,FALSE
Answer.victim_pop_type_individual_1_4.victim_pop_type_individual_1_4,TRUE,TRUE,FALSE
Answer.victim_pop_type_individual_2_1.victim_pop_type_individual_2_1,TRUE,TRUE,FALSE
Answer.victim_pop_type_individual_2_2.victim_pop_type_individual_2_2,TRUE,TRUE,FALSE
Answer.victim_pop_type_individual_3_1.victim_pop_type_individual_3_1,TRUE,TRUE,FALSE
Answer.victim_pop_type_individual_3_2.victim_pop_type_individual_3_2,TRUE,TRUE,FALSE
Answer.victim_pop_type_multiple_1_1.victim_pop_type_multiple_1_1,FALSE,FALSE,FALSE
Answer.victim_pop_type_multiple_1_2.victim_pop_type_multiple_1_2,FALSE,FALSE,FALSE
Answer.victim_pop_type_multiple_1_3.victim_pop_type_multiple_1_3,FALSE,FALSE,FALSE
Answer.victim_pop_type_multiple_1_4.victim_pop_type_multiple_1_4,FALSE,FALSE,FALSE
Answer.victim_pop_type_multiple_2_1.victim_pop_type_multiple_2_1,FALSE,FALSE,FALSE
Answer.victim_pop_type_multiple_2_2.victim_pop_type_multiple_2_2,FALSE,FALSE,FALSE
Answer.victim_pop_type_multiple_3_1.victim_pop_type_multiple_3_1,FALSE,FALSE,FALSE
Answer.victim_pop_type_multiple_3_2.victim_pop_type_multiple_3_2,FALSE,FALSE,FALSE
Answer.victim_sex_type_man_1_1.victim_sex_type_man_1_1,FALSE,FALSE,FALSE
Answer.victim_sex_type_man_1_2.victim_sex_type_man_1_2,FALSE,FALSE,FALSE
Answer.victim_sex_type_man_1_3.victim_sex_type_man_1_3,FALSE,FALSE,FALSE
Answer.victim_sex_type_man_1_4.victim_sex_type_man_1_4,FALSE,FALSE,FALSE
Answer.victim_sex_type_man_2_1.victim_sex_type_man_2_1,TRUE,FALSE,FALSE
Answer.victim_sex_type_man_2_2.victim_sex_type_man_2_2,FALSE,FALSE,FALSE
Answer.victim_sex_type_man_3_1.victim_sex_type_man_3_1,FALSE,FALSE,FALSE
Answer.victim_sex_type_man_3_2.victim_sex_type_man_3_2,FALSE,FALSE,FALSE
Answer.victim_sex_type_other_1_1.victim_sex_type_other_1_1,FALSE,FALSE,FALSE
Answer.victim_sex_type_unkown_1_1.victim_sex_type_unkown_1_1,TRUE,FALSE,FALSE
Answer.victim_sex_type_unkown_1_2.victim_sex_type_unkown_1_2,TRUE,FALSE,FALSE
Answer.victim_sex_type_unkown_1_3.victim_sex_type_unkown_1_3,TRUE,FALSE,FALSE
Answer.victim_sex_type_unkown_1_4.victim_sex_type_unkown_1_4,TRUE,FALSE,FALSE
Answer.victim_sex_type_unkown_2_1.victim_sex_type_unkown_2_1,FALSE,FALSE,FALSE
Answer.victim_sex_type_unkown_2_2.victim_sex_type_unkown_2_2,TRUE,FALSE,FALSE
Answer.victim_sex_type_unkown_3_1.victim_sex_type_unkown_3_1,TRUE,FALSE,FALSE
Answer.victim_sex_type_unkown_3_2.victim_sex_type_unkown_3_2,TRUE,FALSE,FALSE
Answer.victim_sex_type_woman_1_1.victim_sex_type_woman_1_1,FALSE,FALSE,FALSE
Answer.victim_sex_type_woman_1_2.victim_sex_type_woman_1_2,FALSE,FALSE,FALSE
Answer.victim_sex_type_woman_1_3.victim_sex_type_woman_1_3,FALSE,FALSE,FALSE
Answer.victim_sex_type_woman_1_4.victim_sex_type_woman_1_4,FALSE,FALSE,FALSE
Answer.victim_sex_type_woman_2_1.victim_sex_type_woman_2_1,FALSE,FALSE,FALSE
Answer.victim_sex_type_woman_2_2.victim_sex_type_woman_2_2,FALSE,FALSE,FALSE
Answer.victim_sex_type_woman_3_1.victim_sex_type_woman_3_1,FALSE,FALSE,FALSE
Answer.victim_sex_type_woman_3_2.victim_sex_type_woman_3_2,FALSE,FALSE,FALSE
Answer.victim_type_hrd_1_1.victim_type_hrd_1_1,FALSE,FALSE,FALSE
Answer.victim_type_hrd_1_2.victim_type_hrd_1_2,FALSE,FALSE,FALSE
Answer.victim_type_hrd_1_3.victim_type_hrd_1_3,FALSE,FALSE,FALSE
Answer.victim_type_hrd_1_4.victim_type_hrd_1_4,FALSE,FALSE,FALSE
Answer.victim_type_hrd_2_1.victim_type_hrd_2_1,FALSE,FALSE,FALSE
Answer.victim_type_hrd_2_2.victim_type_hrd_2_2,FALSE,FALSE,FALSE
Answer.victim_type_hrd_3_1.victim_type_hrd_3_1,TRUE,TRUE,FALSE
Answer.victim_type_hrd_3_2.victim_type_hrd_3_2,TRUE,TRUE,FALSE
Answer.victim_type_journalist_1_1.victim_type_journalist_1_1,FALSE,FALSE,FALSE
Answer.victim_type_journalist_1_2.victim_type_journalist_1_2,FALSE,FALSE,FALSE
Answer.victim_type_journalist_1_3.victim_type_journalist_1_3,FALSE,FALSE,FALSE
Answer.victim_type_journalist_1_4.victim_type_journalist_1_4,FALSE,FALSE,FALSE
Answer.victim_type_journalist_2_1.victim_type_journalist_2_1,TRUE,TRUE,FALSE
Answer.victim_type_journalist_2_2.victim_type_journalist_2_2,TRUE,TRUE,FALSE
Answer.victim_type_journalist_3_1.victim_type_journalist_3_1,FALSE,FALSE,FALSE
Answer.victim_type_journalist_3_2.victim_type_journalist_3_2,FALSE,FALSE,FALSE
Answer.victim_type_na_1_1.victim_type_na_1_1,FALSE,FALSE,FALSE
Answer.victim_type_na_1_2.victim_type_na_1_2,FALSE,FALSE,FALSE
